,country,points,price,province,winery
112,Italy,87,15,Tuscany,Podere Ciona
113,Italy,87,19,Tuscany,Poggioventoso
114,US,87,18,California,Pull
115,US,87,18,California,Pull
116,US,87,25,California,R2
117,US,87,44,California,Rideau
118,Italy,87,80,Tuscany,Tenuta Forconi
119,France,92,80,Alsace,Dopff & Irion
120,Italy,92,70,Piedmont,Ceretto
121,US,92,36,California,Matrix
122,US,92,39,California,Mauritson
123,Australia,92,40,South Australia,Henry's Drive Vignerons
124,US,92,45,California,Silverado
125,South Africa,91,45,Stellenbosch,Le Riche
126,France,91,48,Alsace,Pierre Sparr
127,France,91,13,Alsace,Pierre Sparr
128,France,91,17,Alsace,Kuentz-Bas
129,South Africa,91,25,Stellenbosch,Camberley
130,Italy,91,70,Piedmont,Ceretto
131,France,91,20,Alsace,Dopff & Irion
132,South Africa,91,30,Simonsberg-Stellenbosch,Delheim
133,Italy,91,68,Piedmont,Poderi Luigi Einaudi
134,US,91,78,California,Clark-Clauden
135,Italy,91,60,Piedmont,Giacomo Ascheri
136,France,91,50,Bordeaux,Lassègue
137,South Africa,90,,Walker Bay,Beaumont
138,France,90,10,Alsace,Dopff & Irion
139,France,90,112,Alsace,Kuentz-Bas
140,Italy,90,26,Piedmont,Poderi Colla
141,Italy,90,45,Piedmont,Giacomo Ascheri
142,US,90,17,California,Banyan
143,France,90,84,Alsace,Domaine Zind-Humbrecht
144,US,91,85,California,Terra Valentine
145,US,91,64,California,Testarossa
146,US,91,68,California,Vincent Vineyards
147,US,91,68,California,Vincent Vineyards
148,Germany,91,16,Rheinhessen,Weingut Liebfrauenstift
149,US,91,35,California,Wrath
150,US,91,25,California,Yardstick
151,Portugal,91,30,Alentejano,Herdade Grande
152,US,91,55,California,Albatross Ridge
153,US,91,46,California,Alta Colina
154,Spain,91,50,Central Spain,Marques de Griñon
155,US,91,36,California,Big Basin
156,Germany,91,14,Mosel,Carl Graff
157,Portugal,91,26,Alentejano,Casa Santa Vitória
158,Italy,91,38,Tuscany,Castello di Gabbiano
159,Italy,91,,Tuscany,Castello Romitorio
160,France,91,35,Southwest France,Château Vincens
161,US,91,35,California,Chronic Cellars
162,US,91,28,California,Claiborne & Churchill
163,France,91,,Beaujolais,Collin-Bourisset
164,Chile,91,29,Aconcagua Valley,Conde de Velázquez
165,Chile,91,32,Maipo Valley,Cono Sur
166,France,91,25,Southwest France,Domaine Berthoumieu
167,US,91,28,California,Dracaena
168,US,91,95,California,Duckhorn
169,US,91,44,California,Dutton-Goldfield
170,Germany,91,30,Mosel,Fritz Haag
171,Germany,91,22,Mosel,Fritz Haag
172,Chile,91,20,Loncomilla Valley,G7
173,US,91,38,Oregon,Le Cadeau
174,New Zealand,88,19,Marlborough,Stoneleigh
175,Italy,88,25,Northeastern Italy,Tenuta Peter Sölva & Söhne
176,Chile,88,50,Maipo Valley,TerraMater
177,Italy,88,22,Tuscany,Isole e Olena
178,US,88,25,California,Kenwood
179,France,88,27,Burgundy,La Chablisienne
180,US,88,23,California,Manzoni
181,US,88,36,California,McIntyre Vineyards
182,Italy,88,,Tuscany,Abbadia Ardenga
183,Argentina,88,12,Other,Alamos
184,US,88,35,California,Anaba
185,Chile,88,15,Colchagua Valley,Apaltagua
186,US,88,40,California,Harrington
187,Italy,88,48,Sicily & Sardinia,Abbazia Santa Anastasia
188,Chile,88,11,Colchagua Valley,Viña Bisquertt
189,Chile,87,11,Casablanca Valley,Emiliana
190,Italy,87,26,Southern Italy,Fattoria Alois
191,Australia,87,30,South Australia,Henry's Drive Vignerons
192,Italy,87,20,Veneto,Aldegheri
193,France,87,35,Burgundy,Bertrand Ambroise
194,Italy,87,,Tuscany,Campomaggio
195,Italy,87,35,Tuscany,Carpineto
196,Italy,87,18,Tuscany,Cesani
197,South Africa,90,23,Western Cape,Spier
198,US,90,60,California,Sequum
199,US,90,28,California,Sierra Starr
200,Italy,90,,Tuscany,Tenuta di Sesta
201,Italy,90,62,Northeastern Italy,Terlan
202,Israel,90,50,Judean Hills,Yatir
203,Portugal,90,28,Alentejo,Adega Cooperativa de Borba
204,US,90,30,California,J. Lohr
205,US,90,25,California,J. Lohr
206,US,90,25,California,Courtney Benham
207,US,90,32,California,Del Carlo Winery
208,South Africa,90,40,Coastal Region,Delaire Graff
209,France,90,16,Rhône Valley,Domaine St Pierre
210,South Africa,90,20,Western Cape,Eikendal
211,France,90,32,Rhône Valley,Famille Perrin
212,Spain,90,40,Northern Spain,Matarromera
213,US,90,48,California,MCV
214,US,90,36,California,Mounts
215,Israel,90,80,Galilee,Or Haganuz
216,Italy,90,57,Tuscany,Podere Scopetone
217,Portugal,90,20,Beira Atlantico,Quinta de Foz de Arouce
218,US,90,20,California,Robert Mondavi
219,Hungary,90,36,Tokaj,Samuel Tinon
220,US,90,40,California,Sixteen by Twenty
221,Italy,90,40,Northeastern Italy,St. Pauls
222,Italy,90,,Tuscany,Talenti
223,Italy,90,,Northeastern Italy,Terlan
224,Argentina,90,22,Mendoza Province,Mendel
225,South Africa,90,25,Stellenbosch,Oldenburg
226,South Africa,90,20,Stellenbosch,Oldenburg
227,US,85,15,New York,Wagner
228,US,85,14,New York,Treleaven
229,US,85,18,California,Benessere
230,US,85,16,New York,Bloomer Creek
231,Argentina,85,10,Mendoza Province,Andean Sky
232,Australia,85,12,South Australia,Angove's
233,US,85,28,Oregon,Silvan Ridge
234,Italy,85,10,Central Italy,Talamonti
235,US,85,49,California,Testarossa
236,US,85,85,California,Meeker
237,Italy,85,18,Central Italy,Consorzio Vini Tipici di San Marino
238,Australia,85,29,South Australia,D'Arenberg
239,US,85,36,California,Dogwood
240,France,85,9,Southwest France,Domaine du Tariquet
241,US,85,34,California,Falcor
242,US,85,15,California,Hayman & Hill
243,US,85,30,New York,Hermann J. Wiemer
244,Spain,85,13,Northern Spain,J. & F. Lurton
245,Argentina,85,12,Other,Finca Las Moras
246,Australia,85,15,South Australia,Long Flat
247,US,85,25,California,Work
248,US,85,45,Oregon,Amity
249,US,85,18,Virginia,Autumn Hill
250,US,85,49,California,Blue Rock
251,US,85,22,Oregon,Cherry Hill
252,US,85,35,California,Cloud 9
253,Argentina,85,15,Mendoza Province,Cueva de las Manos
254,US,89,45,California,David Fulton
255,US,89,55,California,Esterlina
256,South Africa,89,20,Coastal Region,Goats do Roam Wine Co.
257,South Africa,89,18,Coastal Region,Graham Beck
258,South Africa,89,35,Stellenbosch,Hartenberg
259,France,89,13,Southwest France,Vignobles 46N118
260,US,89,40,Oregon,Willamette Valley Vineyards
261,Argentina,89,37,Mendoza Province,Algodon
262,US,89,39,California,Beaver Creek
263,US,89,60,California,Byron
264,South Africa,89,19,Stellenbosch,Jardin
265,South Africa,89,40,Stellenbosch,Jardin
266,Argentina,89,14,Mendoza Province,Kaiken
267,Italy,89,40,Central Italy,Lungarotti
268,Italy,89,36,Veneto,Marchesi Fumanelli
269,Austria,89,17,Leithaberg,Mariell
270,Italy,89,25,Northeastern Italy,Livio Felluga
271,Greece,89,15,Santorini,My Big Fat Greek Wine
272,Italy,89,26,Northeastern Italy,Nals Margreid
273,Argentina,89,19,Mendoza Province,O. Fournier
274,Italy,89,13,Piedmont,Pico Maccario
275,Argentina,89,30,Mendoza Province,Sottano
276,US,89,20,California,St. Francis
277,US,89,30,California,Trailhead
278,US,89,50,Oregon,Erath
279,Italy,89,52,Northeastern Italy,Franz Haas
280,Austria,92,24,Kremstal,Forstreiter
281,US,92,34,California,Cambria
282,Italy,92,41,Tuscany,I Giusti e Zanza
283,US,92,52,Oregon,J. Christopher
284,Argentina,92,215,Mendoza Province,Viña Cobos
285,Austria,92,,Kremstal,Salomon-Undhof
286,US,92,60,California,Talley
287,Spain,92,40,Catalonia,Acústic
288,Austria,92,,Kremstal,Josef Schmid
289,US,92,125,California,Parallel
290,France,92,,Bordeaux,Château Lafon-Rochet
291,Italy,92,,Central Italy,Dionigi
292,France,92,45,France Other,Domaine Daniel Dugois
293,Australia,92,70,South Australia,Kilikanoon
294,Argentina,92,30,Mendoza Province,Finca Sophenia
295,US,87,35,California,Treana
296,Chile,87,20,Maipo Valley,Ventisquero
297,US,87,15,California,Aquinas
298,Chile,87,19,Aconcagua Valley,Arboleda
299,Italy,87,,Piedmont,Attilio Ghisolfi
300,US,87,28,California,Benessere
301,US,87,14,Washington,Buried Cane
302,Italy,87,,Piedmont,Cantina del Nebbiolo
303,Italy,87,56,Piedmont,Cascina Adelaide
304,Italy,87,,Piedmont,Cascina La Ghersa
305,US,87,24,California,Claudia Springs
306,Romania,87,7,Recas,Cramele Recas
307,France,87,30,Burgundy,Domaine Bertagna
308,Greece,87,18,Santorini,Domaine Sigalas
309,Italy,87,20,Piedmont,Socré
310,Italy,87,18,Piedmont,Boffa
311,New Zealand,87,18,Hawke's Bay,Otto's Constant Dream
312,US,87,40,California,Mount Veeder
313,Italy,87,,Piedmont,Rabino
314,US,87,28,California,Robert Mondavi
315,Italy,86,15,Veneto,Bellussi
316,France,86,,Bordeaux,Château Mont-Pérat
317,France,86,,Bordeaux,Château Tour de Mirambeau
318,Chile,86,18,Curicó Valley,Aresti
319,Italy,86,20,Veneto,Paladin
320,Italy,86,22,Veneto,Perlage
321,Italy,86,16,Veneto,Sant Eurosia
322,Italy,86,18,Veneto,Sant Eurosia
323,Chile,86,35,Colchagua Valley,J. & F. Lurton
324,Italy,86,12,Veneto,L'Antica Quercia
325,US,86,11,New York,Lucas Vineyards
326,Italy,86,15,Veneto,Marsuret
327,Chile,86,18,Limarí Valley,De Martino
328,US,86,16,California,Beringer
329,US,86,34,California,Brutocao
330,US,86,40,California,Clos La Chance
331,Chile,86,15,Casablanca Valley,Cono Sur
332,Italy,86,19,Veneto,Sommariva
333,Italy,86,18,Veneto,Spagnol
334,France,86,42,Champagne,Jacquart
335,Italy,86,15,Veneto,L'Antica Quercia
336,Chile,83,35,Colchagua Costa,Koyle
337,France,83,16,Languedoc-Roussillon,Château Notre Dame du Quatourze
338,France,82,11,Provence,Mémoires
339,Spain,82,13,Catalonia,Cavas Hill
340,France,82,18,Alsace,Antoine Moltès & Fils
341,US,82,48,California,Pezzi King
342,Spain,82,11,Catalonia,Bellisco
343,Chile,81,20,Rapel Valley,Pura 8
344,Chile,80,19,Leyda Valley,Viña Tarapacá
345,Australia,100,350,Victoria,Chambers Rosewood Vineyards
346,Australia,98,350,Victoria,Chambers Rosewood Vineyards
347,Germany,97,775,Rheingau,Robert Weil
348,Australia,97,100,Victoria,Chambers Rosewood Vineyards
349,Australia,97,225,South Australia,Torbreck
350,Italy,97,150,Piedmont,Cavallotto
351,Hungary,96,320,Tokaji,Oremus
352,US,96,68,California,Rochioli
353,France,96,630,Burgundy,Louis Latour
354,Germany,96,365,Rheingau,Robert Weil
355,US,96,68,California,Rochioli
356,Australia,95,85,Victoria,Jasper Hill
357,France,95,350,Burgundy,Château de la Tour
358,Germany,95,66,Rheingau,Weingut Hans Bausch
359,France,95,110,Burgundy,Philippe Colin
360,Australia,95,125,South Australia,Torbreck
361,Italy,95,60,Piedmont,Bel Colle
362,US,95,200,California,J. Davies
363,France,95,380,Burgundy,Louis Latour
364,US,95,48,Oregon,Winderlea
365,Australia,95,60,South Australia,Wakefield
366,Italy,88,21,Northeastern Italy,Cantina Terlano
367,Chile,88,10,Maipo Valley,De Martino
368,Italy,88,11,Veneto,Montresor
369,Italy,88,21,Northeastern Italy,Ronco del Gelso
370,US,88,160,California,Sebastiani
371,Italy,88,23,Northeastern Italy,Elena Walch
372,Italy,88,10,Veneto,Gini
373,Italy,88,15,Northeastern Italy,Borgo Conventi
374,US,88,19,California,Ceago Vinegarden
375,Italy,88,40,Tuscany,Valiano
376,Italy,88,18,Northeastern Italy,Volpe Pasini
377,Greece,88,,Naoussa,Zenato
378,Mexico,88,18,Valle de Guadalupe,L.A. Cetto
379,Italy,88,15,Northeastern Italy,La Vis
380,Chile,88,12,Rapel Valley,Lapostolle
381,Italy,88,11,Veneto,Fratelli Zeni
382,Chile,88,15,Maipo Valley,Carmen
383,Italy,88,9,Veneto,Tommasi
384,Italy,88,30,Northeastern Italy,San Michele Eppan
385,US,88,18,California,Vinoce
386,US,88,34,California,Merriam
387,US,88,17,California,Murphy-Goode
388,US,88,25,California,Kynsi
389,Italy,88,15,Northeastern Italy,Cantina Terlano
390,Chile,88,12,Maipo Valley,Casa Julia
391,Chile,88,14,Central Valley,Valdivieso
392,US,87,12,California,Bridlewood
393,Chile,87,11,Lontué Valley,San Pedro
394,Chile,87,12,Maipo Valley,Undurraga
395,Italy,87,,Northeastern Italy,Conti Formentini
396,US,85,16,California,Cline
397,Chile,85,15,Colchagua Valley,Cono Sur
398,Chile,85,13,Curicó Valley,Aresti
399,Italy,85,24,Veneto,Astoria
400,Italy,85,13,Italy Other,Cantine Maschio
401,Italy,85,19,Veneto,Val d'Oca
402,Chile,85,11,Colchagua Valley,Viña Bisquertt
403,US,85,15,California,Vinavanti
404,US,85,45,California,Vino V
405,Italy,85,19,Veneto,Viticoltori Ponte
406,France,85,30,Champagne,Jacquart
407,Chile,85,14,Casablanca Valley,Lapostolle
408,Italy,85,15,Veneto,Le Vigne di Alice
409,US,85,20,New York,McGregor
410,US,85,20,New York,Miles
411,US,85,12,California,Morro Bay
412,Italy,85,20,Veneto,Perlage
413,Italy,85,13,Veneto,Pizzolato
414,Italy,85,16,Veneto,Pizzolato
415,US,85,14,New York,Red Newt Cellars
416,Italy,85,14,Veneto,Ca'Tullio
417,Italy,85,,Veneto,Pizzolato
418,Austria,85,,Burgenland,Michlits
419,France,89,20,Bordeaux,Château de Callac
420,France,89,,Bordeaux,Château de Marsan
421,US,89,30,Washington,Guardian
422,US,89,20,Washington,Kerloo
423,Austria,89,23,Weinviertel,Kohl
424,US,89,30,California,Las Positas
425,US,89,18,New York,Lieb
426,Spain,89,18,Northern Spain,Luberri
427,US,89,35,New York,Macari
428,Austria,89,17,Kremstal,Malat
429,US,89,42,Washington,Milbrandt
430,US,89,30,California,Ojai
431,US,89,24,California,ONX
432,US,89,16,Washington,Pomum
433,US,89,27,California,Prospect 772
434,Italy,89,89,Piedmont,Revello Fratelli
435,Austria,89,,Thermenregion,Gebeshuber
436,Italy,89,15,Piedmont,Tenuta La Marchesa
437,US,89,54,California,Trione
438,Spain,89,15,Northern Spain,Vinos de Arganza
439,Spain,89,42,Northern Spain,Vinos de Arganza
440,US,89,38,Washington,Walla Walla Vintners
441,Austria,89,12,Niederösterreich,Winzer Krems
442,US,89,35,New York,Wölffer
443,US,88,32,California,Dunbar
444,Austria,88,12,Wagram,Eschenhof Holzer
445,Italy,88,28,Sicily & Sardinia,Fattorie Romeo del Castello
446,US,88,20,California,Flying Cloud
447,France,88,14,Loire Valley,Gadais Père et Fils
448,France,88,19,Rhône Valley,André Brunel
449,Italy,92,39,Lombardy,Majolini
450,France,92,,Champagne,Montaudon
451,Italy,92,35,Tuscany,Montemercurio
452,France,92,,Burgundy,Patrick Javillier
453,France,92,69,Champagne,Philippe Fontaine
454,Canada,92,30,Ontario,Pillitteri
455,US,92,40,California,Robert Mondavi
456,US,92,23,California,Roederer Estate
457,US,92,45,California,Rusack
458,Italy,92,50,Lombardy,Bellavista
459,France,92,100,Champagne,Chanoine
460,US,92,50,Oregon,Chehalem
461,US,92,29,Oregon,Chehalem
462,France,92,66,Burgundy,Henri de Villamont
463,France,92,60,Champagne,Vollereaux
464,Germany,92,115,Rheinhessen,Wittmann
465,Italy,92,69,Veneto,Valentina Cubi
466,France,92,,Champagne,Deutz
467,US,92,65,Oregon,Domaine Serene
468,Germany,92,42,Mosel,Dr. Loosen
469,Germany,92,27,Mosel,Dr. Loosen
470,France,92,70,Champagne,H. Blin
471,France,92,73,Burgundy,Henri de Villamont
472,France,92,72,Burgundy,Henri de Villamont
473,Portugal,92,34,Alentejano,Herdade Grande
474,France,92,,Champagne,Jeaunaux-Robin
475,US,92,130,California,Bell
476,US,92,88,California,Castello di Amorosa
477,France,92,65,Bordeaux,Château Vray Croix de Gay
478,France,92,,Champagne,Dampierre
479,Italy,87,15,Sicily & Sardinia,Santa Maria La Palma
480,US,87,45,Washington,Sparkman
481,Italy,87,18,Sicily & Sardinia,Argiolas
482,US,87,60,California,Babcock
483,South Africa,87,12,Stellenbosch,Cape View
484,South Africa,87,12,Western Cape,Ken Forrester
485,France,87,13,Rhône Valley,Louis Bernard
486,US,87,13,California,Lyeth
487,Italy,87,15,Northeastern Italy,Marco Cecchini
488,Italy,87,18,Northeastern Italy,Vigneti Le Monde
489,Italy,87,13,Northeastern Italy,Vigneti Le Monde
490,Spain,87,19,Catalonia,V&N; Cellars
491,Austria,87,18,Kremstal,Winzer Krems
492,US,87,30,Washington,Zerba Cellars
493,US,87,35,Washington,Insania
494,US,87,12,New York,Knapp
495,US,87,18,California,Lava Cap
496,Spain,87,25,Northern Spain,Loess
497,US,87,30,California,MICA Cellars
498,US,87,17,California,Michael Pozzan
